Famille;Genre;Espèce;Cultivar;Origine;Année de plantation;Nom du site;Localisation;Photo 1;Photo 2;Photo 3;Géolocalisation
Araliaceae;Kalopanax;septemlobus;;;;Arboretum Cimetière Parc;;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/140e1a9ba6bb02c020da6078f7678471;;;47.27042, -1.582717
Arecaceae;Chamaerops;humilis;Volcano;Maison Bananier (Couëron);2014;Jardin des Plantes;A3;;;;47.2209791, -1.5442857
Asparagaceae;Hosta;montana F.Maekawa.;;Ets.Lepage;1992;Jardin des Plantes;D3G;;;;47.2197244, -1.5416062
Asparagaceae;Muscari;weissii Freyn;;Goteborg Botanical Garten (Suède);2012;Jardin des Plantes;C5;;;;47.2193141, -1.5428001
Asparagaceae;Veltheimia;bracteata Harv.;;Horthus Botanicus Basiliensis, Basel, Suisse;2012;Jardin des Plantes;I2;;;;47.2185657, -1.5426599
Asparagaceae;Scilla;mischtschenkoana Grossh.;;Hortus Botanicus Tallinensis,Tallinn,Estonie;2012;Jardin des Plantes;B6;;;;47.2202904, -1.5436506
Asparagaceae;Ornithogalum;magnum Krasch.& Schichk;;Inst.Bot. De Komarovii Perkalsky,Stauropol,Russie;2010;Jardin des Plantes;B6;;;;47.2202904, -1.5436506
Asparagaceae;Polygonatum;multiflorum All.;;J.P.Alpin la Saussurea,Courmayeur (Italie);2011;Jardin des Plantes;B3;;;;47.220075, -1.5444508
Asparagaceae;Cordyline;australis Endl.;;JB.Dunedin (N-Zélande);2006;Jardin des Plantes;I1;;;;47.2185256, -1.5421325
Asparagaceae;Hyacinthus;orientalis L.;;JB.Goteborg  (Suede);2010;Jardin des Plantes;C3;;;;47.2198464, -1.5432582
Asparagaceae;Cordyline;australis;;La Maison du bananier - Couëron;2014;Jardin des Plantes;A5;;;;47.2207668, -1.5440149
Asparagaceae;Ophiopogon;japonicus Ker-Gawl.;;Les Ponts de Cé_pépinière Lepage;2016;Jardin des Plantes;D1;;;;47.2200207, -1.542118
Asparagaceae;Nolina;macrocarpa S. Wats.;;Mr.Boff B.;1995;Jardin des Plantes;A2;;;;47.2208871, -1.5444631
